GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0135/257-8;GWM T B42, Philippsburg;07.09.2016 13:45;752;586;7.35;0.3;2;;11.2;;18;;0.25;110;15;;;;7.6;0.5;;5.05;;91;3.5;;3
0135/257-8;GWM T B42, Philippsburg;09.03.2017 09:40;759;593;7.3;0.4;4;;11.2;;;;0.28;;;;;;;;;;;;;;
0135/257-8;GWM T B42, Philippsburg;08.09.2017 07:35;783;581;7.3;;;;11.1;;19.2;0.06;0.23;104;15;;;;9;;;;;92;3.38;;2.61
0135/257-8;GWM T B42, Philippsburg;05.03.2018 10:45;731;605;;;2;;10.8;;;;0.27;;;;;;;;;;;;;;
0135/257-8;GWM T B42, Philippsburg;19.09.2018 15:35;778;620;7.33;;1;;10.9;;;;0.26;;;;;;;;;;;;;;
0135/257-8;GWM T B42, Philippsburg;07.11.2018 13:15;786;577;7.25;0.5;5;;11.1;0.12;17.7;;0.27;107.2;17.5;1.1;2;0.55;7.6;;;4.8;;95;3.4;;2.3
0135/257-8;GWM T B42, Philippsburg;27.03.2019 07:05;764;567;7.3;;;;10.9;;;;0.24;;;;;;;;;;;;;;
0135/257-8;GWM T B42, Philippsburg;24.09.2019 09:00;792;582;7.3;0.1;0.5;;11.1;;18.3;;0.31;105;17;;;;8;;;4.9;;93;3.37;;2.45
0157/308-0;GWM T B45 a-b, Forst;12.10.2006 09:32;283;762;7.07;0.1;0.8;;10.6;;;;0.26;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;24.06.2009 14:17;270;771;7.17;0.1;1;;10.6;0.18;18.5;;0.27;138.3;30.9;1.8;1;1.41;16;;0.011;5.6;;151;4.21;5.6;2.6
0157/308-0;GWM T B45 a-b, Forst;10.09.2009 15:15;300;776;6.93;;;;10.5;;21.9;;0.22;140;29.9;;;;16.6;;0.01;5.53;;147;4.4;;2.83
0157/308-0;GWM T B45 a-b, Forst;02.03.2010 11:00;252;763;7.11;0.2;1.8;;10.4;;;;0.27;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;23.09.2010 17:40;284;;7.06;0.5;5;;10.8;;19.6;;0.26;133;31;;;;14;;0.006;5.5;;131;4.12;;1.7
0157/308-0;GWM T B45 a-b, Forst;15.03.2011 11:25;210;759;7.07;1.7;16;;11.2;;;;0.26;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;22.09.2011 13:10;255;763;7.22;0.5;6;;11;0.19;18.8;;0.27;137.3;32.2;1.6;1;1.32;14.9;;;5.5;;150;4.2;;2.5
0157/308-0;GWM T B45 a-b, Forst;08.03.2012 09:35;229;768;7.01;;;;10.5;;;;0.25;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;27.09.2012 09:40;286;767;7.07;0.2;2;;10.7;;18.1;;0.22;135;31;;;;16.5;;0.009;5.4;;150;4.1;;1.8
0157/308-0;GWM T B45 a-b, Forst;14.03.2013 09:00;213;768;7.16;1.7;16;;10.4;;;;0.28;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;11.09.2013 14:40;224;767;7.07;;;;10.7;;19;;0.28;142;31;;;;15;;;5.24;;155;4.3;;2.1
0157/308-0;GWM T B45 a-b, Forst;19.03.2014 12:45;200;770;7.18;1.8;17;;11;0.17;19;;0.28;138.2;33.3;1.7;1;1.33;15.3;;;5.5;;149;4.23;;2.4
0157/308-0;GWM T B45 a-b, Forst;09.09.2014 09:55;229;;7.09;;;;10.6;;18.7;0.03;0.26;141;32.7;;;;15.5;;;5.57;;153;4.29;;2.5
0157/308-0;GWM T B45 a-b, Forst;17.03.2015 13:50;190;769;7.01;0.7;7;;10.9;;;;0.26;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;14.09.2015 13:40;264;797;7.08;;;;11.5;;19.1;0.026;0.31;140;33;;;;16.1;;;5.3;;152;4.28;;2.44
0157/308-0;GWM T B45 a-b, Forst;17.03.2016 13:55;225;788;7.1;0.2;2;;10.4;;;;0.27;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;12.09.2016 09:15;250;801;7.1;;;;11;;19.5;0.05;0.31;144;35;;;;15.9;;;5.4;;157;4.39;;2.45
0157/308-0;GWM T B45 a-b, Forst;02.03.2017 08:25;257;800;7.2;;;;10.4;;;;0.27;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;25.09.2017 14:35;269;797;7;;;;10.4;;18.8;;0.29;153;38.5;;;;14.9;;;5.6;;156;4.59;;2
0157/308-0;GWM T B45 a-b, Forst;07.03.2018 09:33;182;799;7.05;;;;10.6;;;;0.26;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;03.09.2018 08:43;265;795;7.04;0.6;5.4;;10.8;;;;0.27;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;06.12.2018 09:30;270;772;7.09;0.5;5;;10.5;0.17;19.2;;0.28;139.4;40.4;2;1;1.28;14.6;;;5.4;;159;4.27;;2.5
0157/308-0;GWM T B45 a-b, Forst;11.03.2019 08:52;242;821;7.08;0.6;5.4;;10.5;;;;0.27;;;;;;;;;;;;;;
0157/308-0;GWM T B45 a-b, Forst;10.09.2019 13:40;277;827;7.09;;;;10.7;;19.8;0.03;0.27;160;45.1;;;;16.7;;;5.6;;174;4.81;;2.8
0130/257-5;GWM T Tierpark B33, Rheinhausen;11.10.2006 15:01;211;879;7.29;0.1;1;;13.3;;;;0.77;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;02.09.2009 13:10;276;872;7.18;;;;13.2;;31.6;0.24;0.62;156;31.5;;;;18.5;2.3;0.08;7.8;;118;5.2;;2.21
0130/257-5;GWM T Tierpark B33, Rheinhausen;26.11.2009 16:50;324;848;7.07;0.6;6;;13.1;0.13;27.8;;0.66;149.6;30.8;1.1;3;0.12;18;;0.169;7.7;;117;4.88;;2.1
0130/257-5;GWM T Tierpark B33, Rheinhausen;11.03.2010 15:10;271;848;7.14;0.3;3;;13;;;;0.68;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;01.09.2010 09:50;217;894;7.09;;;;13.1;;28.6;0.1;0.76;156;32.8;;;;18.9;;0.2;7.93;;114;5.07;;2
0130/257-5;GWM T Tierpark B33, Rheinhausen;01.03.2011 09:00;275;868;7.13;;;;12.5;;;;0.72;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;05.09.2011 15:46;296;830;7.25;0.1;1;;13.1;;29;;0.70;155;32.3;;;;19;;0.21;8.06;;109;5.06;;2.3
0130/257-5;GWM T Tierpark B33, Rheinhausen;13.03.2012 10:50;285;869;7.14;1.8;17;;12.8;;;;0.68;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;19.07.2012 09:00;330;878;7.04;;;;13.1;0.13;27.1;;0.73;147.6;34.1;0.9;3;0.14;18.4;;;7.9;;113;4.8;;2.1
0130/257-5;GWM T Tierpark B33, Rheinhausen;11.09.2012 12:50;290;904;7.14;2.5;25;;;;28;;0.73;163;30.4;;;;19;;0.007;7.85;;113;5.22;;1.9
0130/257-5;GWM T Tierpark B33, Rheinhausen;12.03.2013 11:05;240;866;7.01;2.9;27;;;;;;0.68;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;03.09.2013 10:00;284;877;7.08;;;;13.3;;27.8;;0.73;155;31.7;;;;18.1;;;7.88;;117;5.01;;2
0130/257-5;GWM T Tierpark B33, Rheinhausen;11.03.2014 11:00;265;874;7.27;1.8;17;;14;0.1;26.8;;0.68;153;31.9;1;3;0.12;17.2;;;7.8;;114;4.92;;2
0130/257-5;GWM T Tierpark B33, Rheinhausen;29.09.2014 13:00;245;;7.08;;;;14.7;;29.3;0.2;0.78;;32;;;;19.8;;;7.62;;114;;;2.28
0130/257-5;GWM T Tierpark B33, Rheinhausen;10.03.2015 10:30;250;874;7.07;1.3;13;;12.9;;;;0.69;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;15.09.2015 13:05;331;880;7.11;;;;13.2;;27.2;0.56;0.77;151;30;;;;19.4;;;7.5;;114;4.89;;2.06
0130/257-5;GWM T Tierpark B33, Rheinhausen;03.03.2016 10:55;223;871;7.05;;;;13.2;;;;0.69;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;06.09.2016 11:00;261;875;7.22;0.1;1;;13.1;;28;;0.70;160;31;;;;18;;;7.77;;120;5.2;;2.6
0130/257-5;GWM T Tierpark B33, Rheinhausen;28.03.2017 11:15;263;885;;;;;13.3;;;;0.68;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;06.09.2017 12:20;295;872;7.2;;;;13.7;;28.9;0.62;0.63;152;30;;;;18.9;;;7.8;;120;4.98;;2.22
0130/257-5;GWM T Tierpark B33, Rheinhausen;14.03.2018 09:50;234;888;6.98;;1;;12.6;;;;0.72;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;18.09.2018 10:40;353;896;7.34;;1;;12.8;;;;0.66;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;08.11.2018 14:30;372;833;7.15;0.5;5;;13.9;0.11;26.8;;0.68;159.5;30.6;1.4;3;0.12;18;;;7.5;;116;5.08;;2.1
0130/257-5;GWM T Tierpark B33, Rheinhausen;26.03.2019 09:50;258;833;7.1;;;;13;;;;0.64;;;;;;;;;;;;;;
0130/257-5;GWM T Tierpark B33, Rheinhausen;10.09.2019 11:10;282;853;7.1;0.1;0.4;;13.8;;27.8;0.651;0.78;158;31;;;;18.9;;;7.8;;110;5.09;;2.32
0159/307-7;GWM T, Waghäusel;12.10.2006 16:04;527;497;7.38;0.9;8;;11.2;;;;0.27;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;15.06.2009 10:06;519;507;7.25;0.1;1;;10.9;0.09;15.8;;0.26;83.3;15.8;3.7;2;0.63;11;;0.034;5.1;;34;2.73;14.6;1.5
0159/307-7;GWM T, Waghäusel;10.09.2009 11:30;521;520;7.19;;;;10.8;;17;;0.15;84.2;16.2;;;;12.1;;0.03;5.06;;33.6;2.8;;1.79
0159/307-7;GWM T, Waghäusel;08.03.2010 16:07;;;7.4;0.2;1.5;;10.6;;;;0.26;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;08.09.2010 11:25;516;503;7.22;;;;10.9;;16;0.08;0.26;79.6;15.3;;;;11.3;;0.04;5.04;;32.2;2.64;;1.4
0159/307-7;GWM T, Waghäusel;01.03.2011 15:10;475;499;7.32;1.2;11;;11;;;;0.25;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;22.09.2011 08:35;515;499;7.37;1.3;12;;10.9;0.09;15.9;;0.25;79.5;16;3.5;2;0.63;10.9;;;5;;33;2.64;;1.4
0159/307-7;GWM T, Waghäusel;12.03.2012 13:55;510;496;7.38;1.3;12;;10.9;;;;0.24;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;12.09.2012 13:20;536;503;7.2;;;;10.7;;15.8;;0.26;85.8;15.4;;;;11;;;4.95;;31.3;2.79;;1.3
0159/307-7;GWM T, Waghäusel;26.03.2013 12:55;510;497;7.18;1.6;15;;10.4;;;;0.23;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;09.09.2013 15:25;496;495;7.29;;;;10.9;;16;;0.26;87;15;;;;10;;;5;;35;2.8;;1.2
0159/307-7;GWM T, Waghäusel;17.03.2014 15:15;475;499;7.4;1.2;11;;11.2;0.08;15.3;;0.24;81.2;15.6;3.7;1;0.60;10.2;;;4.9;;33;2.66;;1.3
0159/307-7;GWM T, Waghäusel;10.09.2014 09:40;503;499;7.29;;;;10.8;;15.5;0.11;0.26;81.4;15.6;;;;11.1;;;4.97;;33.7;2.67;;1.4
0159/307-7;GWM T, Waghäusel;17.03.2015 11:10;510;496;7.17;2.5;23;;11.1;;;;0.24;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;07.09.2015 09:45;519;506;7.26;0.1;1;;11;;15.8;0.1;0.28;83.5;16;;;;12.4;;;5;;40;2.73;;1.45
0159/307-7;GWM T, Waghäusel;11.03.2016 14:10;519;496;7.32;;;;10.8;;;;0.25;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;07.09.2016 09:45;498;509;7.3;;;;11.2;;16.3;0.11;0.28;79.1;15;;;;11.3;;;5;;34;2.64;;1.4
0159/307-7;GWM T, Waghäusel;01.03.2017 09:30;518;504;7.4;0.3;2;;10.4;;;;0.26;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;22.09.2017 12:40;533;501;7.22;;;;10.5;;15;0.06;0.26;85.1;15.5;;;;11.9;;;4.85;;36.9;2.74;;1.4
0159/307-7;GWM T, Waghäusel;05.03.2018 09:35;493;492;7.25;;;;10.9;;;;0.25;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;12.09.2018 11:01;527;484;7.32;;;;10.9;;;;0.26;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;07.11.2018 08:30;536;478;7.21;0.5;5;;10.3;0.09;15.5;;0.26;84.5;17.1;3.7;2;0.60;11;;;4.7;;37;2.75;;1.4
0159/307-7;GWM T, Waghäusel;06.03.2019 11:32;531;505;7.28;0.6;5.5;;10.7;;;;0.26;;;;;;;;;;;;;;
0159/307-7;GWM T, Waghäusel;03.09.2019 12:40;547;500;7.1;0.1;1;;11;;16.8;0.093;0.25;79.1;16;;;;12.1;;;4.7;;36;2.66;;1.49
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;11.10.2006 12:05;;455;7.23;0.2;14;;12.2;;;;0.17;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;11.09.2007 16:15;;;7.28;2.3;22;;12.5;;;;0.16;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;03.09.2008 11:20;590;449;7.24;1.9;20;;13;;;;0.24;;;;;;;0.6;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;22.06.2009 11:22;;457;7.23;0.2;1.6;;12;0.07;10;;0.17;82.3;3.3;1.5;2;0.16;4;;0.049;5.6;;5;2.46;19.4;1.2
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;09.09.2009 11:15;434;455;7.25;;;;12.3;;10.7;0.03;0.18;85.6;3.3;;;;4.7;;0.05;5.48;;4.7;2.58;;1.2
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;17.03.2010 10:25;;455;7.19;;;;12;;;;0.17;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;22.09.2010 11:05;425;432;7.21;;;;12.6;;;;0.17;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;20.09.2011 11:00;600;449;7.36;1.5;14;;12.8;0.05;11;;0.18;86.4;3.3;1.3;2;0.16;4.6;;;5.4;;5;2.61;;1.2
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;06.09.2012 14:30;432;452;7.31;2.3;23;;12.5;;;;0.18;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;09.09.2013 12:00;400;452;;1.2;11;;12.6;;;;0.17;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;18.03.2014 11:00;385;451;7.39;2.3;22;;12.3;0.05;10.3;;0.17;83.1;3.4;1.4;2;0.15;4.3;;;5.4;;5;2.5;;1.1
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;09.09.2014 11:35;540;448;7.31;1.9;18;;13.6;;;;0.11;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;08.09.2015 12:40;413;457;7.33;;;;12.7;;;;0.18;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;05.09.2016 10:20;412;447;7.24;0.1;1;;12.3;;;;0.18;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;04.09.2017 10:40;467;444;;;;;12.4;;;;0.17;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;13.09.2018 14:35;444;464;7.24;;2;;12.2;;;;0.16;;;;;;;;;;;;;;
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;28.11.2018 09:56;456;434;7.13;0.3;3;;11.9;0.06;10.8;;0.15;87.5;3.4;1.5;2;0.13;4.7;;;5.2;;5;2.63;;1.2
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;11.09.2019 10:35;470;459;7.14;;;;11.9;;;;0.10;;;;;;;;;;;;;;
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;05.09.2006 09:30;570;790;7;1.3;12.1;;11.8;;;;;;;;;;;13.1;;;;;;;
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;06.02.2007 09:55;556;773;7.15;1.3;12;;12.2;;16.7;;;148;32.1;1.31;;0.18;13.2;11.2;;6.35;;96.9;4.38;0.1;7.01
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;21.09.2009 11:15;531;772;7.02;1.6;15;;12.1;;;;0.01;;;;;;;12.4;;;;;;;
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;07.07.2010 21:10;508;720;7.07;1.3;12;;12.4;0.05;17;;;149;38;1.3;;0.15;15;10.6;0.005;6.7;;83;4.42;2.09;7.6
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;03.09.2012 15:42;539;751;7.13;1.8;18;;12.1;;17;;;139;37.3;;;;17;11.5;;7.13;;66;4.17;;7.9
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;12.09.2013 09:55;468;757;6.93;1.4;13.2;;11.9;;16.4;;;140;40.2;;;;16.8;10;;6.7;;70;4.17;;7.4
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;11.11.2014 15:40;505;711;7.01;1.6;15;;12.3;;15.7;;;132.8;38.9;1.3;;0.16;17.1;10.2;;6.5;;63;3.96;;7.4
